Date,Close/Last,Open,High,Low
11/25/2025,23025.59,22802.85,23070.09,22587.11
11/24/2025,22872.01,22482.16,22916.4,22478.27
11/21/2025,22273.08,22162.83,22531.84,21898.29
11/20/2025,22078.05,23057,23147.33,22043.2
11/19/2025,22564.23,22459.27,22821.24,22385.22
11/18/2025,22432.85,22565.9,22643.01,22231.15
11/17/2025,22708.07,22788.32,23044.55,22559.51
11/14/2025,22900.59,22544.72,23073.18,22436.79
11/13/2025,22870.35,23262.65,23264.27,22796.07
11/12/2025,23406.46,23563.84,23564.09,23278.3
11/11/2025,23468.3,23407.72,23508.44,23315.28
11/10/2025,23527.17,23354.85,23569.62,23290.05
11/07/2025,23004.54,22892.92,23009.91,22563.42
11/06/2025,23053.99,23461.29,23469.55,23011.06
11/05/2025,23499.8,23358.07,23636.53,23286.87
11/04/2025,23348.64,23458.21,23644.15,23333.32
11/03/2025,23834.72,23951.91,23976.84,23764.87
10/31/2025,23724.96,23941.78,23946.23,23628.82
10/30/2025,23581.14,23793.08,23846.13,23578.47
10/29/2025,23958.47,23987.29,24019.99,23763.99
10/28/2025,23827.49,23766.46,23901.36,23675.19
10/27/2025,23637.46,23537.32,23658.66,23493.96
10/24/2025,23204.87,23143.23,23261.26,23127.95
10/23/2025,22941.8,22751.33,22983.46,22732.18
10/22/2025,22740.4,22940.79,22978.4,22514.08
10/21/2025,22953.67,22984.55,23010.35,22894.42
10/20/2025,22990.54,22844.82,23031.87,22841
10/17/2025,22679.97,22489.81,22736.01,22396.65
10/16/2025,22562.54,22764.4,22886.87,22404.69
10/15/2025,22670.08,22738.5,22841.69,22427.79
10/14/2025,22521.7,22388.04,22691.07,22213.73
10/13/2025,22694.61,22578.67,22718.75,22499.49
10/10/2025,22204.43,23043.52,23119.91,22193.07
10/09/2025,23024.63,23045.33,23062.62,22899.16
10/08/2025,23043.38,22852.32,23045.14,22845.42
10/07/2025,22788.36,22972.37,23006.07,22718.76
10/06/2025,22941.67,22894.35,22991.72,22827.56
10/03/2025,22780.51,22886.16,22925.43,22695.82
10/02/2025,22844.05,22885.9,22900.6,22729.75
10/01/2025,22755.16,22530.95,22782.58,22516.74
09/30/2025,22660.01,22580.36,22671.39,22493.96
09/29/2025,22591.15,22605.3,22704.9,22536.06
09/26/2025,22484.07,22403.27,22488.18,22285.44
09/25/2025,22384.7,22318.77,22456.78,22185.87
09/24/2025,22497.85,22656.02,22657.45,22397
09/23/2025,22573.47,22782.72,22785.13,22539.04
09/22/2025,22788.98,22606.59,22801.9,22590.86
09/19/2025,22631.48,22554.32,22645.11,22497.71
09/18/2025,22470.73,22439.11,22540.93,22358.49
09/17/2025,22261.33,22333.02,22339.54,22058.92
09/16/2025,22333.96,22397.5,22397.5,22308.78
09/15/2025,22348.75,22243.2,22352.25,22233
09/12/2025,22141.1,22078.63,22182.34,22031.62
09/11/2025,22043.07,21977.51,22059.71,21908.81
09/10/2025,21886.06,21980.6,22000.97,21810.84
09/09/2025,21879.49,21858.17,21891.42,21731.48
09/08/2025,21798.7,21806.22,21885.62,21776.24
09/05/2025,21700.39,21860.44,21878.81,21534.73
09/04/2025,21707.69,21539.91,21711.96,21469.4
09/03/2025,21497.73,21461.63,21553.98,21370.98
09/02/2025,21279.63,21086.58,21293.69,21033.05
08/29/2025,21455.55,21630.33,21631.15,21397.98
08/28/2025,21705.16,21619.27,21742.46,21534.94
08/27/2025,21590.14,21526.33,21616.17,21476.3
08/26/2025,21544.27,21443.63,21550.92,21389.1
08/25/2025,21449.29,21466.47,21572.18,21400.08
08/22/2025,21496.53,21139.83,21545.43,21092.35
08/21/2025,21100.31,21112.52,21198.76,21013.53
08/20/2025,21172.86,21269.67,21269.67,20905.99
08/19/2025,21314.95,21607.45,21610.24,21277.71
08/18/2025,21629.77,21616.82,21651.5,21559.33
08/15/2025,21622.98,21709.34,21716.18,21567.46
08/14/2025,21710.67,21649.21,21766.29,21627.13
08/13/2025,21713.14,21764.55,21803.75,21645.14
08/12/2025,21681.9,21507.44,21689.68,21386.25
08/11/2025,21385.4,21459.65,21549.73,21346.62
08/08/2025,21450.02,21316.37,21464.53,21284.97
08/07/2025,21242.7,21325.01,21408.15,21090.05
08/06/2025,21169.42,20955.22,21183.88,20937.49
08/05/2025,20916.55,21092.1,21138.72,20893.29
08/04/2025,21053.58,20853.91,21055.24,20833.86
08/01/2025,20650.13,20830.64,20865.63,20560.17
07/31/2025,21122.45,21457.48,21457.48,21078.67
07/30/2025,21129.67,21140.4,21230.88,21016.92
07/29/2025,21098.29,21286.73,21303.96,21081.69
07/28/2025,21178.58,21176.4,21202.18,21122.12
07/25/2025,21108.32,21059.94,21159.8,21036.85
07/24/2025,21057.96,21083.82,21113.1,21001.68
07/23/2025,21020.02,20966.47,21023.85,20870.67
07/22/2025,20892.68,20982.21,20985.34,20750.9
07/21/2025,20974.17,20960.33,21077.37,20957.44
07/18/2025,20895.66,20959.57,20980.56,20846.12
07/17/2025,20885.65,20760.32,20911.83,20735.55
07/16/2025,20730.49,20717.81,20751.05,20507.06
07/15/2025,20677.8,20822.76,20836.04,20670.58
07/14/2025,20640.33,20592.56,20672.34,20492.63
07/11/2025,20585.53,20562.88,20647.98,20509.75
07/10/2025,20630.66,20636.48,20655.39,20495.14
07/09/2025,20611.34,20522.09,20645.41,20486.38
07/08/2025,20418.46,20466.93,20480.89,20377.35
07/07/2025,20412.52,20490.55,20511.82,20323.02
07/03/2025,20601.1,20497.66,20624.51,20480.22
07/02/2025,20393.13,20184.37,20397.22,20181.74
07/01/2025,20202.89,20290.61,20339.05,20105.42
06/30/2025,20369.73,20360.15,20418.31,20266.36
06/27/2025,20273.46,20217.26,20311.51,20095.05
06/26/2025,20167.91,20062.19,20187.15,19982.48
06/25/2025,19973.55,20013.95,20052.78,19918.08
06/24/2025,19912.53,19809.61,19946.72,19795.29
06/23/2025,19630.97,19427.01,19643.7,19334.98
06/20/2025,19447.41,19639.41,19696.11,19380.58
06/18/2025,19546.27,19526.92,19660.77,19489.56
06/17/2025,19521.09,19627.08,19666.56,19485.44
06/16/2025,19701.21,19550.75,19733.31,19550.75
06/13/2025,19406.83,19450.92,19591.87,19367.42
06/12/2025,19662.48,19578.87,19690.61,19553.56
06/11/2025,19615.88,19779.35,19800.46,19551.34
06/10/2025,19714.99,19620.11,19730.38,19539.09
06/09/2025,19591.24,19573.14,19637.56,19531.1
06/06/2025,19529.95,19526.99,19593.18,19464.84
06/05/2025,19298.45,19518.2,19610.51,19226.22
06/04/2025,19460.49,19434.94,19493.45,19359.09
06/03/2025,19398.96,19288.66,19459.28,19224.7
06/02/2025,19242.61,19063.06,19252.71,18985.3
05/30/2025,19113.77,19131.22,19157.78,18847.74
05/29/2025,19175.87,19389.39,19389.39,19091.54
05/28/2025,19100.94,19232.62,19276.83,19084.38
05/27/2025,19199.16,19014.44,19210.95,18961.69
05/23/2025,18737.21,18622.38,18841.52,18599.69
05/22/2025,18925.73,18888.05,19061.11,18840.34
05/21/2025,18872.64,19002.94,19241.41,18799.2
05/20/2025,19142.71,19132.06,19186.68,19015.63
05/19/2025,19215.46,18937.42,19227.22,18937.42
05/16/2025,19211.1,19151.54,19213.42,19038.48
05/15/2025,19112.32,19031.24,19207.22,18967.78
05/14/2025,19146.81,19074.72,19174.55,19023.61
05/13/2025,19010.08,18761.23,19065.96,18745.5
05/12/2025,18708.34,18674.55,18710.22,18472.71
05/09/2025,17928.92,18022.55,18068.9,17853.84
05/08/2025,17928.14,17920.15,18096,17776
05/07/2025,17738.16,17706.83,17820.3,17503.01
05/06/2025,17689.66,17623.21,17830.35,17592.88
05/05/2025,17844.24,17817.01,17965.64,17792.08
05/02/2025,17977.73,17868.76,18048.83,17812.05
05/01/2025,17710.74,17793.14,17922.83,17688.1
04/30/2025,17446.34,17099.98,17483.82,16959.53
04/29/2025,17461.32,17270.76,17500.41,17256.2
04/28/2025,17366.13,17390.93,17467.35,17128.71
04/25/2025,17382.94,17182.11,17404.49,17110.72
04/24/2025,17166.04,16754.76,17174.35,16744.97
04/23/2025,16708.05,16880.29,17029.86,16642.66
04/22/2025,16300.42,16079.94,16410.56,16038.73
04/21/2025,15870.9,16052.76,16066.79,15685.33
04/17/2025,16286.45,16399.97,16408.51,16181.17
04/16/2025,16307.16,16499.69,16600.36,16066.46
04/15/2025,16823.17,16842.39,16979.96,16753.22
04/14/2025,16831.48,17120.44,17136.55,16661.26
04/11/2025,16724.46,16358.53,16753.41,16228.04
04/10/2025,16387.31,16635.45,16712.37,15894.26
04/09/2025,17124.97,15295.44,17202.94,15270.28
04/08/2025,15267.91,16181.04,16316.51,15053.39
04/07/2025,15603.26,14978.03,16292.28,14784.03
04/04/2025,15587.79,16045.6,16128.16,15575.68
04/03/2025,16550.61,16790.53,16889.34,16533.04
04/02/2025,17601.05,17207.01,17716.52,17181.27
04/01/2025,17449.89,17221.55,17506.58,17149.36
03/31/2025,17299.29,17045.44,17334.98,16854.37
03/28/2025,17322.99,17722.09,17763.28,17283.06
03/27/2025,17804.03,17811.24,17988.02,17743.8
03/26/2025,17899.01,18217.33,18236.55,17837.26
03/25/2025,18271.86,18207.97,18281.13,18170.42
03/24/2025,18188.59,18046.18,18210.05,18030.68
03/21/2025,17784.05,17519.84,17798.06,17474.81
03/20/2025,17691.63,17586.06,17903.2,17576.82
03/19/2025,17750.79,17590.12,17917.54,17533.94
03/18/2025,17504.12,17662.57,17682.92,17431.67
03/17/2025,17808.66,17722.55,17925.94,17645.87
03/14/2025,17754.09,17523.3,17773.48,17491.08
03/13/2025,17303.01,17598.56,17621.91,17239.44
03/12/2025,17648.45,17711.41,17800.1,17436.27
03/11/2025,17436.1,17443.09,17687.4,17238.24
03/10/2025,17468.32,17840.32,17868.07,17291.82
03/07/2025,18196.22,18029.85,18243.58,17768.59
03/06/2025,18069.26,18204.53,18439.24,17980.39
03/05/2025,18552.73,18312.97,18604.47,18144.73
03/04/2025,18285.16,18176.43,18589.49,17956.6
03/03/2025,18350.19,18923.36,18992.3,18216.63
02/28/2025,18847.28,18477.17,18861.33,18372.99
02/27/2025,18544.42,19212.36,19242.69,18535.22
02/26/2025,19075.26,19109.32,19286.02,18966.45
02/25/2025,19026.39,19242.61,19256.35,18871.52
02/24/2025,19286.92,19590.85,19644.23,19275.46
02/21/2025,19524.01,20006.69,20016.66,19510.91
02/20/2025,19962.36,20029.19,20041.15,19795.02
02/19/2025,20056.25,19994.5,20099.39,19928.89
02/18/2025,20041.26,20090.55,20110.11,19909.74
02/14/2025,20026.77,19956.82,20045.76,19932.15
02/13/2025,19945.64,19696.92,19952.17,19675.87
02/12/2025,19649.95,19436.51,19682.51,19415.48
02/11/2025,19643.86,19602.11,19731.93,19579.77
02/10/2025,19714.27,19668.18,19772.04,19650.79
02/07/2025,19523.4,19774.87,19862.55,19489.36
02/06/2025,19791.99,19725.83,19793.36,19654.11
02/05/2025,19692.33,19533.05,19696.94,19498.9
02/04/2025,19654.01,19422.17,19666.44,19408.18
02/03/2025,19391.96,19215.37,19502.13,19141.15
01/31/2025,19627.44,19832.33,19969.17,19575.21
01/30/2025,19681.75,19697.52,19785.79,19483.83
01/29/2025,19632.32,19695.68,19699.82,19479.51
01/28/2025,19733.59,19418.22,19759.43,19294.62
01/27/2025,19341.83,19234.04,19514.35,19204.95
01/24/2025,19954.3,20087.1,20118.61,19897.13
01/23/2025,20053.68,19906.99,20053.68,19892.55
01/22/2025,20009.34,19903.05,20068.52,19903.05
01/21/2025,19756.78,19734.39,19789.62,19551.17
01/17/2025,19630.2,19655.55,19709.64,19543.32
01/16/2025,19338.29,19573.87,19579.85,19335.68
01/15/2025,19511.23,19350.31,19548.9,19299.32
01/14/2025,19044.39,19207.75,19273.14,18926.6
01/13/2025,19088.1,18903.66,19099.97,18831.91
01/10/2025,19161.63,19312.26,19315.11,19018.75
01/08/2025,19478.88,19469.36,19544.5,19308.54
01/07/2025,19489.68,19938.08,19940.21,19421.02
01/06/2025,19864.98,19851.99,20007.95,19784.99
01/03/2025,19621.68,19395.51,19638.66,19379.57
01/02/2025,19280.79,19403.9,19517.87,19117.59
12/31/2024,19310.79,19551.36,19563.72,19283.41
12/30/2024,19486.78,19460.41,19622.93,19342.51
12/27/2024,19722.03,19896.77,19904.77,19553.4
12/26/2024,20020.36,19979.25,20070.08,19888.11
12/24/2024,20031.13,19818.48,20031.13,19813.76
12/23/2024,19764.89,19641.05,19772.09,19504.68
12/20/2024,19572.6,19190.04,19758.61,19168.38
12/19/2024,19372.77,19565.66,19623.02,19357.76
12/18/2024,19392.69,20114.98,20179.77,19336.59
12/17/2024,20109.06,20095.62,20148.83,20004.73
12/16/2024,20173.89,20016.12,20204.58,19988.12
12/13/2024,19926.72,19995.18,20061.65,19817.47
12/12/2024,19902.84,19947.34,20018.24,19897.38
12/11/2024,20034.89,19832.96,20055.93,19830.64
12/10/2024,19687.24,19796.39,19887.08,19641.34
12/09/2024,19736.69,19824.09,19872.79,19698.05
12/06/2024,19859.77,19743.96,19863.14,19734.42
12/05/2024,19700.72,19756.4,19790.03,19688.59
12/04/2024,19735.12,19587.48,19741.76,19575.4
12/03/2024,19480.91,19364.34,19486.15,19340.41
12/02/2024,19403.95,19255.42,19436.92,19255.42
11/29/2024,19218.17,19087.47,19245.49,19066.52
11/27/2024,19060.48,19132.99,19133.11,18937.2
11/26/2024,19175.58,19109.08,19184.4,19100.73